Issue type,Origin,Handle Time Seconds,Source,Count
Full Time Employment,Phone,348.35849056603774,Phone,192
Payment Method,Phone,346.52614015572857,Phone,575
Outstanding Payment Taken,Phone,343.9628942486085,Phone,323
Accreditation,Phone,343.14716981132074,Phone,182
PAYG,WhatsApp,334.5,Omni,24
Reviews,Phone,326.454016298021,Phone,569
Reporting Spam,Phone,324.1666666666667,Omni,29
Not Listed on Account,Phone,323.0068493150685,Phone,143
Trade App Reset,WhatsApp,322.2,Omni,78
External Debt Agency,Phone,320.1777777777778,Phone,36
Ceased Trading,Phone,318.2371541501976,Phone,428
Sub Category,Phone,316.86301369863014,Phone,58
Pre RVM - Not Live Yet,Email,313.5882352941176,Omni,21
Lead Volume - Too many leads,Email,311.25,Omni,19
Debt at Sign Up,Phone,307.89130434782606,Phone,28
Declined,Phone,292.77142857142854,Phone,80
Not Listed on Account,WhatsApp,292.75,Omni,505
Owes Debt,Phone,289.8424,Phone,728
Not appearing in search,WhatsApp,289.25,Omni,56
Break/Pause,Phone,285.181598062954,Phone,297
Guarantee,Phone,281.375,Phone,110
Consumer App,Phone,278.0,Phone,23
Secure Contact,WhatsApp,277.0,Omni,51
Break/Pause,WhatsApp,271.5,Omni,149
Wrong number,Phone,266.1509433962264,Phone,38
Decreased Budget,Phone,265.45714285714286,Phone,22
Wrong number,Email,265.42857142857144,Omni,6
Decreased Budget,Community,262.0,Omni,2
Trade refund query,Phone,257.2,Phone,3
Ceased Trading,WhatsApp,243.875,Omni,214
Cannot contact Account Manager,Phone,242.6043165467626,Phone,175
PLI,WhatsApp,233.5,Omni,166
Category,WhatsApp,227.33333333333334,Omni,253
Profile Text,Web,223.97506925207756,Omni,13739
Accreditation,Web,220.5,Omni,4676
Fixed Plan,Email,209.0,Phone,42
Refusal,Phone,207.2,Phone,6
Pre RVM - Not Live Yet,Phone,166.76556776556777,Phone,116
Owes Debt,WhatsApp,158.0,Omni,210
WhatsApp No Info,WhatsApp,144.0,Omni,1206
Contact Added/Removed,WhatsApp,129.0,Omni,31
Decreased Budget,Email,121.0,Omni,1
Wrong number,WhatsApp,105.0,Omni,3
External Debt Agency,Phone,104.0,Omni,36
Cannot contact Account Manager,WhatsApp,89.4,Omni,15
Pre RVM - Not Live Yet,WhatsApp,81.0,Omni,44
Call disconnected,Phone,77.48619957537154,Phone,279
Trade refund request,Phone,72.5,Phone,2
Company Address,WhatsApp,46.5,Omni,61
Trade App Reset,Email,21.0,Phone,55
Wrong amount on invoice,Community,18.0,Omni,1
Media call,WhatsApp,16.333333333333332,Omni,15
Change of Ownership,WhatsApp,14.0,Omni,11
Trade refund request,Email,13.0,Omni,1
PLI,Web,0.0,Omni,1759
